id,service_name,category,url
1,Car Accident Lawyer,Vehicle Accident,https://sweetjames.com/personal-injury/car-accident-lawyers/
2,Truck Accident Lawyer,Vehicle Accident,https://sweetjames.com/personal-injury/truck-accident-attorney/
3,Motorcycle Accident Attorney,Vehicle Accident,https://sweetjames.com/personal-injury/need-motorcycle-accident-attorney-get-justice-with-sweet-james/
4,Rideshare Accident Attorney,Vehicle Accident,https://sweetjames.com/personal-injury/rideshare-accident-attorney/
5,Bus Accident Attorney,Vehicle Accident,https://sweetjames.com/personal-injury/bus-accident-attorney/
6,Bicycle Accident Attorney,Vehicle Accident,https://sweetjames.com/personal-injury/bicycle-accident-attorney/
7,Slip and Fall Accident Attorney,Personal Injury Attorneys,https://sweetjames.com/personal-injury/slip-fall-accident-attorney/
8,Pedestrian Accident Attorney,Personal Injury Attorneys,https://sweetjames.com/personal-injury/pedestrian-accident-attorney/
9,Brain and Spine Injury Attorneys,Personal Injury Attorneys,https://sweetjames.com/personal-injury/brain-spine-injury-attorney/
10,Serious and Catastrophic Injury Attorney,Personal Injury Attorneys,https://sweetjames.com/personal-injury/serious-injury-attorney/
11,Burn Injury Attorney,Personal Injury Attorneys,https://sweetjames.com/personal-injury/burn-injury-attorney/
12,Dog Bite Attorney,Personal Injury Attorneys,https://sweetjames.com/personal-injury/dog-bite-attorney/
13,Wrongful Death Attorney,Wrongful Death Attorney,https://sweetjames.com/personal-injury/wrongful-death-attorney/
14,Birth Injury Attorney,Birth Injury Attorney,https://sweetjames.com/personal-injury/birth-injury-lawyers/
15,Wildfire Attorneys,Wildfire Attorneys,https://sweetjames.com/personal-injury/birth-injury-lawyers/
16,Nursing Home Abuse Attoney,Nursing Home Abuse Attorneys,https://sweetjames.com/personal-injury/nursing-home-abuse-attorney/
17,Sexual Abuse Attorney,Sexual Abuse Attorneys,https://sweetjames.com/personal-injury/sexual-abuse-attorney/
